artist,category,channel_id,channel_name,subscribers,total_views,video_count,created_at,avg_views,avg_likes,avg_comments,engagement_rate,fandom_activity,recent_videos_30d,collected_at
PLAVE,버추얼 아이돌,UCPZIPuQPrfrUG9Xe_okEmQA,PLAVE 플레이브,1120000,670533871,1401,2022-06-16,158099,15242,495,9.95,14.12,20,2025-12-20 23:15:13
KATSEYE,글로벌 오디션,UCA61H4fWOMHikLcUFKyQUog,KATSEYE,6720000,4218661682,1165,2023-08-03,3987446,183325,4238,4.7,59.34,20,2025-12-20 23:15:15
ZEROBASEONE,글로벌 오디션,UCSAp0Yl9S0Zq5uDqE6im_XQ,ZEROBASEONE,2060000,897219761,2356,2023-04-17,93892,9970,328,10.97,4.56,20,2025-12-20 23:15:17
BOYNEXTDOOR,HYBE 신인,UChhKBlh_wvspTh5n4mL0b5g,BOYNEXTDOOR,2100000,1204550314,2236,2023-03-28,275924,21909,389,8.08,13.14,20,2025-12-20 23:15:18
NMIXX,4세대 걸그룹,UCnUAyD4t2LkvW68YrDh7fDg,NMIXX,3820000,1774700038,1534,2021-07-12,567442,19050,476,3.44,14.85,20,2025-12-20 23:15:20
aespa,4세대 걸그룹,UC9GtSLeksfK4yuJ_g1lgQbg,aespa,8190000,5471840659,1501,2020-06-26,342998,20040,405,5.96,4.19,14,2025-12-20 23:15:21
NewJeans,4세대 걸그룹,UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,8220000,4871163132,751,2022-07-07,155395,8612,1042,6.21,1.89,4,2025-12-20 23:15:23
IVE,4세대 걸그룹,UC-Fnix71vRP64WXeo0ikd0Q,IVE,4670000,3867625617,2007,2021-08-25,479342,24410,420,5.18,10.26,20,2025-12-20 23:15:24
LE SSERAFIM,4세대 걸그룹,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,6720000,5269151275,2599,2021-10-19,613071,29075,388,4.81,9.12,20,2025-12-20 23:15:26
ITZY,4세대 걸그룹,UCDhM2k2Cua-JdobAh5moMFg,ITZY,9700000,3652352486,2237,2019-01-14,400440,24322,378,6.17,4.13,20,2025-12-20 23:15:28
