region,top_visual,top_talent,top_love,top_raw_words,comment_count
한국,"입(60), 예쁘(46), 눈(43), 코(39), 미모(24)","노래(102), 무대(71), 라이브(55), 안무(36), 연기(24)","좋아(74), 사랑(73), 행복(73), 미쳤(63), 감사(40)","엔믹스(118), 릴리(73), 지우(71), 귀여워(67), 콘서트(59), 설윤(52), 이렇게(51), 해원이(51), 아니(48), 영상(48)",2603
영어권,"look(77), beautiful(68), pretty(41), visual(19)","mixx(264), live(74), vocal(59), performance(55), sing(39)","love(155), best(53), amazing(53), perfect(35), king(33)","nmixx(279), love(163), haewon(102), song(98), sullyoon(94), lily(87), cute(84), jiwoo(84), like(78), much(72)",1565
일본,"かわいい(4), かっこいい(1), 美しい(1)","歌(5), 声(1)","最高(7), 幸せ(3), 大好き(2), 素敵(2)","funky(3), glitter(3), christmas(2), nmixx(1), high(1)",66
중국,,mixx(5),,"nmixx(2), kyujin(1), cute(1), bae(1), goshhhhhh(1), jiwoo(1), pabllo(1), vittar(1)",44
러시아,,,,"staytiny(1), high(1), horse(1)",10
독일,,"talent(1), vocal(1)",happy(1),"super(6), cute(2), deserves(2), anymore(1), atp(1), lindas(1), hermosas(1), son(1), talentosas(1), las(1)",5
베트남,"look(1), visual(1)","mixx(3), vocal(2), talent(2), performance(1)",perfect(2),"que(11), para(4), esta(4), del(4), nswer(3), son(3), chicas(3), eso(3), nmixx(3), ser(3)",33
필리핀,,,,"ang(1), kyuykut(1), bunso(1), namen(1)",1
아랍어권,,,,,2
포르투갈어권,,,,"amo(9), las(3), tanto(3), vcs(2), estoy(1), emocionada(1), por(1), verlas(1), festival(1), como(1)",9
터키,,,,"elas(1), simplesmente(1), enquanto(1), ensaiam(1), choque(1), que(1), grupo(1), lindo(1), queria(1), tanto(1)",3
인도네시아,,mixx(5),,"banget(8), nmixx(5), keren(5), konser(2), kalian(2), suka(2), pengen(1), dateng(1), minimal(1), sekali(1)",11
스페인어권,beautiful(1),"talent(1), mixx(1)",,"del(3), mar(3), este(2), see(2), mucho(1), talento(1), hay(1), que(1), poner(1), estos(1)",8
태국,,sing(1),love(1),"thailand(1), thank(1), love(1), sing(1), song(1)",4
말레이시아,,,,"sullyoon(1), macam(1), bukan(1), orang(1), korea(1)",1
