video_id,video_title,comment_count,unique_authors,korean_rate,english_rate,top_member,top_member_count,top_keywords
0GQf504uxOc,준비돼 있지🎤 완벽한 플리!🎼 작곡즈의 2025 🏆연말 결산 💙💜❤️ | #플레이브 PLA,202,168,85.6,7.9,노아,37,"노래, 귀여, 행복, 라이브, 사랑"
JEr8v20o4a4,2025 PLAVE Asia Tour [DASH: Quantum Leap] Encore H,500,487,80.6,11.4,노아,2,"행복, 콘, 콘서트, 사랑, 고마"
ND_RYGRrLjI,바미🐿️하미🐈‍⬛ 텐션 한도초과! 댄스 챌린지🕺&게임 천국🎮 라이브 🩷🖤 | #플레이브 P,241,204,88.0,6.6,밤비,33,"귀여, 춤, 사랑, live, 방송"
jk8jMxzzRD0,YOI YOI ԅ( ˘ · ˘ ԅ) #PLAVE #플레이브 #은호 #하민 #EUNHO #H,500,473,76.8,14.4,은호,52,"귀여, 춤, cute, 사랑, 영상"
PZOCOXtyDmQ,PLAVE 2026 Season's Greetings [ Heart Tracker ] Pr,148,146,77.0,14.2,예준,1,"플리, 귀여, AI, 짱, 좋아"
0Nd2_iDpOtE,스튜던트? 진도가 너무 빨라요🧘 하민쌤의 🦢엘레강스한 발레🩰 CLASS 🩷❤️🖤 | #플레,500,367,89.0,6.6,하민,68,"방송, 눈, 레전드, live, 웃음"
WxMGhEmdphI,PLAVE 2026 Season's Greetings [ Heart Tracker ] 🏕️,223,222,74.9,18.4,예준,4,"예쁘, cute, 귀여, 좋아, 입"
mXqtoQQcKLs,˗ˏˋ Opalite ˎˊ˗ #PLAVE #플레이브 #노아 #밤비 #NOAH #BAMBY ,437,424,70.0,22.0,노아,40,"귀여, cute, 예쁘, 춤, 춤선"
l72PKh5hkf0,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAV,352,298,82.7,10.5,노아,45,"방송, live, 축하, 사랑, 눈"
bFz5MhxY454,PLAVE 'BBUU! (Christmas Ver.)' Official Lyric Vide,233,231,69.5,18.0,예준,4,"귀여, 플리, 사랑, 고마, 행복"
