member,region,comment_count,top_category,visual_score,talent_score,personality_score,love_score,top_words
방찬,한국,7,love,2,2,1,8,"스키즈, 찬이, 많이, 스키즈가, 특히"
방찬,영어권,455,love,146,118,133,263,"changbin, love, chan, kids, stray"
리노,한국,18,love,3,11,3,30,"리노, 고마워요, 스키즈, 무대, 스트레이키즈"
리노,영어권,142,love,71,103,34,130,"know, lee, love, perfect, seungmin"
창빈,한국,25,love,3,4,6,19,"창빈, 창빈이, 스키즈가, 스키즈, 많이"
창빈,영어권,262,love,98,81,103,175,"changbin, love, perfect, don, kids"
현진,한국,16,love,2,5,0,9,"현진이, 많이, 이렇게, 스키즈, 열심히"
현진,영어권,143,love,82,96,42,140,"hyunjin, love, perfect, han, know"
한,한국,28,love,5,8,4,22,"한이, 사랑해, 이렇게, 많이, 스키즈"
한,영어권,1065,love,407,307,266,518,"han, love, changbin, kids, cute"
필릭스,한국,24,love,4,6,3,16,"펠릭스, 스키즈, 펠릭스의, 많이, 펠릭스는"
필릭스,영어권,173,visual,109,78,56,109,"felix, love, perfect, know, seungmin"
승민,한국,23,love,6,8,2,20,"많이, 승민이, 무대, 스키즈, 여러분을"
승민,영어권,235,love,105,124,59,141,"seungmin, love, perfect, know, stray"
아이엔,한국,17,love,5,1,7,16,"정인이, 창빈이, 아이엔, 귀여워요, 이제"
아이엔,영어권,202,love,109,77,101,159,"love, changbin, perfect, smile, kids"
