region,top_visual,top_talent,top_love,top_raw_words,comment_count
영어권,"look(291), beautiful(184), visual(123), handsome(115), smile(65)","voice(181), dance(88), sing(80), vocal(75), stage(48)","love(801), king(178), best(139), amazing(137), proud(107)","love(883), kids(504), stray(476), han(445), changbin(276), cute(266), much(253), like(222), seungmin(218), good(206)",3856
베트남,"visual(2), beautiful(1), look(1)","talent(7), vocal(2), dance(1), rap(1), voice(1)","love(7), perfect(3), amazing(1), incredible(1)","que(74), los(33), amo(30), muito(28), kids(26), stray(24), por(22), como(20), para(17), love(14)",179
한국,"잘생(25), 입(15), 눈(11)","노래(36), 무대(19), 춤(8)","사랑(126), 좋아(59), 최고(34), 고마(18), 행복(15)","스트레이(64), 저는(44), 사랑해요(44), 사랑해(42), 키즈(37), 많이(28), 이렇게(24), 항상(24), 좋아해요(23), 여러분(22)",531
터키,"visual(2), handsome(2), pretty(1)",,"love(24), best(2), perfect(2), proud(1)","love(26), stray(21), come(17), han(11), please(9), pls(7), kids(7), changbi(6), strayki(5), sizi(4)",96
일본,"かっこいい(9), 目(5), 美しい(2), かわいい(1), ビジュアル(1)","歌(14), 声(12), ダンス(5), ステージ(4), 上手(2)","大好き(15), 最高(10), 素敵(6), 幸せ(5), 応援(4)","stray(2), prayed(1), happiness(1), bounce(1), straykids(1), beauty(1), voice(1), room(1)",125
프랑스어권,beautiful(1),sing(1),"love(3), perfect(1)","non(5), love(4), incroyable(3), pour(2), serious(2), kpop(2), friend(2), said(2), maknae(2), han(2)",10
러시아,,,love(1),"stray(3), kids(3), love(1)",24
아랍어권,handsome(1),,love(2),"words(2), love(2), greetings(1), algeria(1), eight(1), handsome(1), princes(1), type(1), song(1), beyond(1)",21
태국,,,,"mira(3), presente(2), changbin(1), wow(1), esos(1), pectorales(1), supremo(1), staycausa(1), stray(1), kids(1)",3
포르투갈어권,,talent(2),perfect(1),"amo(32), los(16), son(10), que(9), muito(8), por(6), stray(6), kids(6), gracias(4), tan(4)",34
독일,look(1),"rap(1), vocal(1), dance(1), sing(1), talent(1)","love(3), king(1), proud(1)","super(9), han(4), feel(4), hard(3), like(3), skz(2), staff(2), chan(2), one(2), love(2)",9
중국,,,,"kids(1), stray(1)",8
스페인어권,visual(1),,perfect(1),"que(11), muy(5), son(4), quiero(4), hermoso(4), han(4), pero(3), los(3), esto(3), ellos(3)",19
인도네시아,,,,"yang(2), seungmin(2), lee(2), jeongin(1), bang(1), chan(1), stray(1), kids(1), itu(1), vibenya(1)",3
