video_id,video_title,comment_count,unique_authors,korean_rate,english_rate,top_member,top_member_count,top_keywords
MNaSBldFk3k,🎥🪭 #StrayKids #스트레이키즈 #DO_IT #SKZ_IT_TAPE #Do_It #,500,459,12.0,76.6,한,130,"love, look, stray kids, cute, visual"
HdgpH3_mZEs,[Stray Kids : SKZ-TALKER] Ep.76,500,439,6.2,84.6,한,100,"love, stray kids, stay, skz, proud"
ilhvEnvfFTQ,🎥🥓 #StrayKids #스트레이키즈 #Do_It_Remixes #Do_It_Overdr,500,482,11.4,75.4,한,120,"love, stray kids, cute, handsome, skz"
_SzQbRViu_M,🎥🌴 #StrayKids #스트레이키즈 #Do_It_Remixes #Do_It_Overdr,500,485,12.2,74.2,한,52,"love, cute, stray kids, look, visual"
dxi4pB9b7eg,[Stray Kids : SKZ-TALKER] Ep.75,500,449,9.2,82.2,한,87,"love, stray kids, stay, proud, skz"
AewMk3r-gAI,🎥🧹 #StrayKids #스트레이키즈 #DO_IT #SKZ_IT_TAPE #Do_It #,500,478,11.8,76.4,한,147,"love, cute, look, visual, stray kids"
t1wIrFkCTJ0,🎥🎊 #StrayKids #스트레이키즈 #DO_IT #SKZ_IT_TAPE #Do_It #,500,476,8.4,75.4,승민,123,"love, stray kids, look, vocal, cute"
yDsaB-wbNLo,내가 그렇게 미워졌니 ♪ Stray Kids - 충돌 (Collision) #StrayKi,500,488,11.6,75.0,한,213,"voice, love, beautiful, amazing, sing"
uRJUVUlTevM,[2 Kids Room 2025] Ep.24 Changbin X I.N,500,439,10.2,77.6,한,161,"love, cute, king, sweet, stray kids"
4jdhlRWkH5s,📸🍷 #StrayKids #스트레이키즈 #DO_IT #SKZ_IT_TAPE #Do_It #,500,480,13.2,73.8,한,100,"love, look, stray kids, cute, beautiful"
